,Dog ID,User ID,Gender,Birthday,Breed,Breed_Type,Breed_Group,Weight,Dog_Fixed,DNA_Tested,Dimension,Sign_in_Count
0,fd27b272-7144-11e5-ba71-058fbc01cf0b,ce134e42-7144-11e5-ba71-058fbc01cf0b,female,2011.0,Labrador Retriever,Pure Breed,Sporting,50.0,1.0,0.0,charmer,14.0
1,fd27b5ba-7144-11e5-ba71-058fbc01cf0b,ce1353d8-7144-11e5-ba71-058fbc01cf0b,male,2007.0,Shetland Sheepdog,Pure Breed,Herding,20.0,1.0,0.0,protodog,8.0
2,fd27b6b4-7144-11e5-ba71-058fbc01cf0b,ce135ab8-7144-11e5-ba71-058fbc01cf0b,male,2012.0,Golden Retriever,Pure Breed,Sporting,70.0,0.0,1.0,0,3.0
3,fd27b79a-7144-11e5-ba71-058fbc01cf0b,ce13507c-7144-11e5-ba71-058fbc01cf0b,male,2011.0,Golden Retriever,Pure Breed,Sporting,70.0,0.0,0.0,0,21.0
4,fd27b86c-7144-11e5-ba71-058fbc01cf0b,ce135e14-7144-11e5-ba71-058fbc01cf0b,female,2010.0,Shih Tzu,Pure Breed,Toy,190.0,0.0,0.0,einstein,181.0
5,fd27b948-7144-11e5-ba71-058fbc01cf0b,ce13615c-7144-11e5-ba71-058fbc01cf0b,male,2011.0,Siberian Husky,Pure Breed,Working,60.0,1.0,0.0,stargazer,6.0
6,fd27ba1a-7144-11e5-ba71-058fbc01cf0b,ce135e14-7144-11e5-ba71-058fbc01cf0b,male,1982.0,Shih Tzu,Pure Breed,Toy,190.0,1.0,0.0,maverick,181.0
7,fd27bbbe-7144-11e5-ba71-058fbc01cf0b,ce135f2c-7144-11e5-ba71-058fbc01cf0b,male,2012.0,Mixed,Mixed Breed/ Other/ I Don't Know,0,50.0,1.0,0.0,protodog,6.0
8,fd27c1c2-7144-11e5-ba71-058fbc01cf0b,ce136a1c-7144-11e5-ba71-058fbc01cf0b,male,2008.0,Labrador Retriever,Pure Breed,Sporting,70.0,1.0,0.0,einstein,13.0
9,fd27c5be-7144-11e5-ba71-058fbc01cf0b,ce136ac6-7144-11e5-ba71-058fbc01cf0b,male,2008.0,Shih Tzu-Poodle Mix,Cross Breed,0,0.0,1.0,0.0,socialite,4.0
10,fd27c74e-7144-11e5-ba71-058fbc01cf0b,ce136c24-7144-11e5-ba71-058fbc01cf0b,female,2011.0,German Shepherd Dog-Pembroke Welsh Corgi Mix,Cross Breed,0,40.0,1.0,0.0,0,7.0
11,fd27c7d0-7144-11e5-ba71-058fbc01cf0b,ce136e36-7144-11e5-ba71-058fbc01cf0b,male,2011.0,Vizsla,Pure Breed,Sporting,60.0,1.0,0.0,socialite,10.0
12,fd27c852-7144-11e5-ba71-058fbc01cf0b,ce136ee0-7144-11e5-ba71-058fbc01cf0b,female,2007.0,Pug,Pure Breed,Toy,20.0,1.0,0.0,stargazer,7.0
13,fd27c8d4-7144-11e5-ba71-058fbc01cf0b,ce136f94-7144-11e5-ba71-058fbc01cf0b,female,2010.0,Boxer,Pure Breed,Working,50.0,1.0,0.0,ace,27.0
14,fd27c956-7144-11e5-ba71-058fbc01cf0b,ce134be0-7144-11e5-ba71-058fbc01cf0b,male,2010.0,German Shepherd Dog-Nova Scotia Duck Tolling Retri,Cross Breed,0,30.0,1.0,0.0,0,65.0
15,fd27cb72-7144-11e5-ba71-058fbc01cf0b,ce1371a6-7144-11e5-ba71-058fbc01cf0b,male,2005.0,Beagle,Pure Breed,Hound,40.0,1.0,0.0,protodog,7.0
16,fd27cd98-7144-11e5-ba71-058fbc01cf0b,ce136f94-7144-11e5-ba71-058fbc01cf0b,male,2005.0,Beagle,Pure Breed,Hound,30.0,1.0,1.0,expert,27.0
17,fd27ce1a-7144-11e5-ba71-058fbc01cf0b,ce136f94-7144-11e5-ba71-058fbc01cf0b,male,2000.0,Beagle,Pure Breed,Hound,20.0,1.0,1.0,0,27.0
18,fd27cea6-7144-11e5-ba71-058fbc01cf0b,ce1373ae-7144-11e5-ba71-058fbc01cf0b,male,2000.0,Mixed,Mixed Breed/ Other/ I Don't Know,0,10.0,1.0,0.0,0,2.0
19,fd27cf28-7144-11e5-ba71-058fbc01cf0b,ce13750c-7144-11e5-ba71-058fbc01cf0b,female,2010.0,Chesapeake Bay Retriever,Pure Breed,Sporting,60.0,1.0,0.0,charmer,5.0
20,fd27cfaa-7144-11e5-ba71-058fbc01cf0b,ce1375b6-7144-11e5-ba71-058fbc01cf0b,male,2006.0,Border Collie,Pure Breed,Herding,40.0,1.0,0.0,0,3.0
21,fd27d02c-7144-11e5-ba71-058fbc01cf0b,ce1377b4-7144-11e5-ba71-058fbc01cf0b,male,2013.0,Belgian Malinois,Pure Breed,Herding,20.0,0.0,0.0,stargazer,9.0
22,fd27d0b8-7144-11e5-ba71-058fbc01cf0b,ce137700-7144-11e5-ba71-058fbc01cf0b,female,2009.0,Australian Shepherd-German Shepherd Dog Mix,Cross Breed,0,90.0,1.0,0.0,renaissance-dog,22.0
23,fd27d144-7144-11e5-ba71-058fbc01cf0b,ce137868-7144-11e5-ba71-058fbc01cf0b,male,2004.0,Poodle,Pure Breed,Non-Sporting,50.0,1.0,1.0,0,5.0
24,fd27d1c6-7144-11e5-ba71-058fbc01cf0b,ce137868-7144-11e5-ba71-058fbc01cf0b,male,2005.0,Poodle,Pure Breed,Non-Sporting,40.0,1.0,1.0,0,5.0
25,fd27d248-7144-11e5-ba71-058fbc01cf0b,ce137912-7144-11e5-ba71-058fbc01cf0b,male,2008.0,Golden Doodle,Popular Hybrid,0,70.0,1.0,0.0,0,3.0
26,fd27d2ca-7144-11e5-ba71-058fbc01cf0b,ce1379c6-7144-11e5-ba71-058fbc01cf0b,female,2011.0,Labrador Retriever,Pure Breed,Sporting,80.0,1.0,0.0,0,3.0
27,fd27d34c-7144-11e5-ba71-058fbc01cf0b,ce137a7a-7144-11e5-ba71-058fbc01cf0b,female,2012.0,German Shepherd Dog,Pure Breed,Herding,20.0,1.0,0.0,0,12.0
28,fd27d3d8-7144-11e5-ba71-058fbc01cf0b,ce137a7a-7144-11e5-ba71-058fbc01cf0b,male,2012.0,German Shepherd Dog,Pure Breed,Herding,30.0,1.0,0.0,0,12.0
29,fd27d45a-7144-11e5-ba71-058fbc01cf0b,ce137034-7144-11e5-ba71-058fbc01cf0b,female,2011.0,Weimaraner,Pure Breed,Sporting,80.0,1.0,0.0,stargazer,25.0
30,fd27d4dc-7144-11e5-ba71-058fbc01cf0b,ce137034-7144-11e5-ba71-058fbc01cf0b,female,2011.0,Mixed,Mixed Breed/ Other/ I Don't Know,0,30.0,1.0,0.0,maverick,25.0
31,fd27d770-7144-11e5-ba71-058fbc01cf0b,ce137c78-7144-11e5-ba71-058fbc01cf0b,female,2011.0,Bouvier des Flandres,Pure Breed,Herding,60.0,1.0,0.0,socialite,15.0
32,fd27d9fa-7144-11e5-ba71-058fbc01cf0b,ce135bd0-7144-11e5-ba71-058fbc01cf0b,female,2006.0,Mixed,Mixed Breed/ Other/ I Don't Know,0,90.0,1.0,1.0,einstein,11.0
33,fd27db08-7144-11e5-ba71-058fbc01cf0b,ce13807e-7144-11e5-ba71-058fbc01cf0b,male,2011.0,German Shepherd Dog,Pure Breed,Herding,80.0,1.0,0.0,0,1.0
34,fd27db8a-7144-11e5-ba71-058fbc01cf0b,ce1381c8-7144-11e5-ba71-058fbc01cf0b,female,2008.0,Beagle,Pure Breed,Hound,10.0,1.0,0.0,0,3.0
35,fd27dc52-7144-11e5-ba71-058fbc01cf0b,ce138268-7144-11e5-ba71-058fbc01cf0b,male,2009.0,Mudi,Pure Breed,0,20.0,1.0,1.0,0,2.0
36,fd27dd38-7144-11e5-ba71-058fbc01cf0b,ce138312-7144-11e5-ba71-058fbc01cf0b,male,2008.0,Parson Russell Terrier-Beagle Mix,Cross Breed,0,30.0,1.0,0.0,0,2.0
37,fd27e026-7144-11e5-ba71-058fbc01cf0b,ce135194-7144-11e5-ba71-058fbc01cf0b,male,2013.0,Dalmatian,Pure Breed,Non-Sporting,20.0,0.0,0.0,0,6.0
38,fd27e0d0-7144-11e5-ba71-058fbc01cf0b,ce135194-7144-11e5-ba71-058fbc01cf0b,male,2004.0,I Don't Know,Mixed Breed/ Other/ I Don't Know,0,50.0,1.0,0.0,0,6.0
39,fd27e1e8-7144-11e5-ba71-058fbc01cf0b,ce13851a-7144-11e5-ba71-058fbc01cf0b,female,2000.0,Border Collie-Labrador Retriever Mix,Cross Breed,Herding,40.0,0.0,0.0,charmer,27.0
40,fd27e31e-7144-11e5-ba71-058fbc01cf0b,ce13851a-7144-11e5-ba71-058fbc01cf0b,female,2008.0,Belgian Tervuren,Pure Breed,Herding,20.0,0.0,0.0,socialite,27.0
41,fd27e454-7144-11e5-ba71-058fbc01cf0b,ce1385c4-7144-11e5-ba71-058fbc01cf0b,female,2012.0,Mixed,Mixed Breed/ Other/ I Don't Know,0,70.0,1.0,1.0,maverick,27.0
42,fd27e580-7144-11e5-ba71-058fbc01cf0b,ce1385c4-7144-11e5-ba71-058fbc01cf0b,male,2005.0,Labrador Retriever,Pure Breed,Sporting,70.0,1.0,0.0,stargazer,27.0
43,fd27e9a4-7144-11e5-ba71-058fbc01cf0b,ce135e14-7144-11e5-ba71-058fbc01cf0b,male,2012.0,Shih Tzu,Pure Breed,Toy,190.0,0.0,1.0,protodog,181.0
44,fd27eae4-7144-11e5-ba71-058fbc01cf0b,ce138722-7144-11e5-ba71-058fbc01cf0b,female,2011.0,Australian Terrier,Pure Breed,Terrier,10.0,0.0,0.0,0,2.0
45,fd27ed46-7144-11e5-ba71-058fbc01cf0b,ce135e14-7144-11e5-ba71-058fbc01cf0b,female,2012.0,Shih Tzu,Pure Breed,Toy,190.0,0.0,0.0,maverick,181.0
46,fd27efb2-7144-11e5-ba71-058fbc01cf0b,ce1389d4-7144-11e5-ba71-058fbc01cf0b,female,2009.0,Golden Retriever,Pure Breed,Sporting,80.0,1.0,0.0,einstein,7.0
47,fd27f110-7144-11e5-ba71-058fbc01cf0b,ce1387cc-7144-11e5-ba71-058fbc01cf0b,male,2010.0,Bernese Mountain Dog,Pure Breed,Working,100.0,1.0,0.0,0,11.0
48,fd27f25a-7144-11e5-ba71-058fbc01cf0b,ce138a88-7144-11e5-ba71-058fbc01cf0b,male,2009.0,Chihuahua- Mix,Cross Breed,0,0.0,1.0,0.0,0,4.0
49,fd27f4c6-7144-11e5-ba71-058fbc01cf0b,ce138f92-7144-11e5-ba71-058fbc01cf0b,male,2008.0,Shetland Sheepdog,Pure Breed,Herding,10.0,1.0,0.0,0,3.0
50,fd27f732-7144-11e5-ba71-058fbc01cf0b,ce138f92-7144-11e5-ba71-058fbc01cf0b,female,2010.0,Shetland Sheepdog,Pure Breed,Herding,10.0,1.0,0.0,0,3.0
51,fd27f868-7144-11e5-ba71-058fbc01cf0b,ce1390f0-7144-11e5-ba71-058fbc01cf0b,female,2011.0,Mixed,Mixed Breed/ Other/ I Don't Know,0,20.0,1.0,0.0,0,1.0
52,fd27f9a8-7144-11e5-ba71-058fbc01cf0b,ce13919a-7144-11e5-ba71-058fbc01cf0b,male,2011.0,Chihuahua-Dachshund Mix,Cross Breed,0,10.0,1.0,0.0,0,4.0
53,fd28010a-7144-11e5-ba71-058fbc01cf0b,ce137458-7144-11e5-ba71-058fbc01cf0b,female,2012.0,Finnish Spitz,Pure Breed,Non-Sporting,20.0,0.0,0.0,0,2.0
54,fd280236-7144-11e5-ba71-058fbc01cf0b,ce1394f6-7144-11e5-ba71-058fbc01cf0b,female,2001.0,Siberian Husky,Pure Breed,Working,50.0,1.0,0.0,0,6.0
55,fd280344-7144-11e5-ba71-058fbc01cf0b,ce13964a-7144-11e5-ba71-058fbc01cf0b,female,2011.0,Rottweiler,Pure Breed,Working,80.0,1.0,0.0,0,4.0
56,fd280826-7144-11e5-ba71-058fbc01cf0b,ce13985c-7144-11e5-ba71-058fbc01cf0b,male,2013.0,Pembroke Welsh Corgi,Pure Breed,Herding,10.0,1.0,0.0,0,1.0
57,fd2808b2-7144-11e5-ba71-058fbc01cf0b,ce137656-7144-11e5-ba71-058fbc01cf0b,male,2008.0,Brussels Griffon,Pure Breed,Toy,10.0,1.0,0.0,0,12.0
